"state","county","year","party","votes"
"Georgia","Henry",2000,"dem",11971
"Georgia","Houston",2000,"dem",13301
"Georgia","Irwin",2000,"dem",1105
"Georgia","Jackson",2000,"dem",3420
"Georgia","Jasper",2000,"dem",1558
"Georgia","Jeff Davis",2000,"dem",1379
"Georgia","Jefferson",2000,"dem",2973
"Georgia","Jenkins",2000,"dem",1250
"Georgia","Johnson",2000,"dem",1065
"Georgia","Jones",2000,"dem",3102
"Georgia","Lamar",2000,"dem",2194
"Georgia","Lanier",2000,"dem",832
"Georgia","Laurens",2000,"dem",5724
"Georgia","Lee",2000,"dem",1936
"Georgia","Liberty",2000,"dem",5347
"Georgia","Lincoln",2000,"dem",1275
"Georgia","Long",2000,"dem",975
"Georgia","Lowndes",2000,"dem",10616
"Georgia","Lumpkin",2000,"dem",2121
"Georgia","Macon",2000,"dem",2757
"Georgia","Madison",2000,"dem",2285
"Georgia","Marion",2000,"dem",982
"Georgia","McDuffie",2000,"dem",2580
"Georgia","McIntosh",2000,"dem",2047
"Georgia","Meriwether",2000,"dem",3441
"Georgia","Miller",2000,"dem",783
"Georgia","Mitchell",2000,"dem",2971
"Georgia","Monroe",2000,"dem",2839
"Georgia","Montgomery",2000,"dem",1013
"Georgia","Morgan",2000,"dem",2238
"Georgia","Murray",2000,"dem",2684
"Georgia","Muscogee",2000,"dem",28193
"Georgia","Newton",2000,"dem",6703
"Georgia","Oconee",2000,"dem",3184
"Georgia","Oglethorpe",2000,"dem",1519
"Georgia","Paulding",2000,"dem",6743
"Georgia","Peach",2000,"dem",3540
"Georgia","Pickens",2000,"dem",2489
"Georgia","Pierce",2000,"dem",1300
"Georgia","Pike",2000,"dem",1413
"Georgia","Polk",2000,"dem",4112
"Georgia","Pulaski",2000,"dem",1390
"Georgia","Putnam",2000,"dem",2612
"Georgia","Quitman",2000,"dem",542
"Georgia","Rabun",2000,"dem",1776
"Georgia","Randolph",2000,"dem",1381
"Georgia","Richmond",2000,"dem",31413
"Georgia","Rockdale",2000,"dem",8295
"Georgia","Schley",2000,"dem",460
"Georgia","Screven",2000,"dem",2233
"Georgia","Seminole",2000,"dem",1313
"Georgia","Spalding",2000,"dem",5831
"Georgia","Stephens",2000,"dem",2869
"Georgia","Stewart",2000,"dem",1267
"Georgia","Sumter",2000,"dem",4748
"Georgia","Talbot",2000,"dem",1662
"Georgia","Taliaferro",2000,"dem",556
"Georgia","Tattnall",2000,"dem",1963
"Georgia","Taylor",2000,"dem",1340
"Georgia","Telfair",2000,"dem",1777
"Georgia","Terrell",2000,"dem",1584
"Georgia","Thomas",2000,"dem",4862
"Georgia","Tift",2000,"dem",3547
"Georgia","Toombs",2000,"dem",2643
"Georgia","Towns",2000,"dem",1495
"Georgia","Treutlen",2000,"dem",879
"Georgia","Troup",2000,"dem",6379
"Georgia","Turner",2000,"dem",1169
"Georgia","Twiggs",2000,"dem",1977
"Georgia","Union",2000,"dem",2230
"Georgia","Upson",2000,"dem",3158
"Georgia","Walker",2000,"dem",6341
"Georgia","Walton",2000,"dem",5484
"Georgia","Ware",2000,"dem",3480
"Georgia","Warren",2000,"dem",1196
"Georgia","Washington",2000,"dem",3476
"Georgia","Wayne",2000,"dem",2736
"Georgia","Webster",2000,"dem",541
"Georgia","Wheeler",2000,"dem",752
"Georgia","White",2000,"dem",2014
"Georgia","Whitfield",2000,"dem",7034
"Georgia","Wilcox",2000,"dem",962
"Georgia","Wilkes",2000,"dem",1940
"Georgia","Wilkinson",2000,"dem",1884
"Georgia","Worth",2000,"dem",2214
"Hawaii","Federal Overseas",2000,"dem",44
"Hawaii","Hawaii",2000,"dem",233956
"Hawaii","Honolulu",2000,"dem",139618
"Hawaii","Kauai",2000,"dem",13470
"Hawaii","Maui",2000,"dem",23484
"Idaho","Ada",2000,"dem",40650
"Idaho","Adams",2000,"dem",336
"Idaho","Bannock",2000,"dem",10892
"Idaho","Bear Lake",2000,"dem",517
"Idaho","Benewah",2000,"dem",895
"Idaho","Bingham",2000,"dem",3310
"Idaho","Blaine",2000,"dem",3748
"Idaho","Boise",2000,"dem",745
"Idaho","Bonner",2000,"dem",4318
"Idaho","Bonneville",2000,"dem",7235
"Idaho","Boundary",2000,"dem",832
"Idaho","Butte",2000,"dem",354
"Idaho","Camas",2000,"dem",113
"Idaho","Canyon",2000,"dem",10588
"Idaho","Caribou",2000,"dem",475
"Idaho","Cassia",2000,"dem",1087
"Idaho","Clark",2000,"dem",63
"Idaho","Clearwater",2000,"dem",841
"Idaho","Custer",2000,"dem",416
"Idaho","Elmore",2000,"dem",1840
"Idaho","Franklin",2000,"dem",513
"Idaho","Fremont",2000,"dem",699
"Idaho","Gem",2000,"dem",1346
"Idaho","Gooding",2000,"dem",1282
"Idaho","Idaho",2000,"dem",1187
"Idaho","Jefferson",2000,"dem",1100
"Idaho","Jerome",2000,"dem",1360
"Idaho","Kootenai",2000,"dem",13488
"Idaho","Latah",2000,"dem",5661
"Idaho","Lemhi",2000,"dem",660
"Idaho","Lewis",2000,"dem",335
"Idaho","Lincoln",2000,"dem",437
"Idaho","Madison",2000,"dem",816
"Idaho","Minidoka",2000,"dem",1344
"Idaho","Nez Perce",2000,"dem",4995
"Idaho","Oneida",2000,"dem",307
"Idaho","Owyhee",2000,"dem",623
"Idaho","Payette",2000,"dem",1643
"Idaho","Power",2000,"dem",755
"Idaho","Shoshone",2000,"dem",2225
"Idaho","Teton",2000,"dem",720
"Idaho","Twin Falls",2000,"dem",5777
"Idaho","Valley",2000,"dem",1129
"Idaho","Washington",2000,"dem",980
"Illinois","Adams",2000,"dem",12197
"Illinois","Alexander",2000,"dem",2357
"Illinois","Bond",2000,"dem",3060
"Illinois","Boone",2000,"dem",6481
"Illinois","Brown",2000,"dem",1077
"Illinois","Bureau",2000,"dem",7754
"Illinois","Calhoun",2000,"dem",1310
"Illinois","Carroll",2000,"dem",3113
"Illinois","Cass",2000,"dem",2789
"Illinois","Champaign",2000,"dem",35515
"Illinois","Christian",2000,"dem",6799
"Illinois","Clark",2000,"dem",2932
"Illinois","Clay",2000,"dem",2212
"Illinois","Clinton",2000,"dem",6436
"Illinois","Coles",2000,"dem",8904
"Illinois","Cook",2000,"dem",1280547
"Illinois","Crawford",2000,"dem",3333
"Illinois","Cumberland",2000,"dem",1870
"Illinois","DeKalb",2000,"dem",14798
"Illinois","DeWitt",2000,"dem",2870
"Illinois","Douglas",2000,"dem",3215
"Illinois","DuPage",2000,"dem",152550
"Illinois","Edgar",2000,"dem",3216
"Illinois","Edwards",2000,"dem",978
"Illinois","Effingham",2000,"dem",4225
"Illinois","Fayette",2000,"dem",3886
"Illinois","Ford",2000,"dem",2090
"Illinois","Franklin",2000,"dem",10201
"Illinois","Fulton",2000,"dem",8940
"Illinois","Gallatin",2000,"dem",1878
"Illinois","Greene",2000,"dem",2490
"Illinois","Grundy",2000,"dem",7516
"Illinois","Hamilton",2000,"dem",1943
"Illinois","Hancock",2000,"dem",4256
"Illinois","Hardin",2000,"dem",1184
"Illinois","Henderson",2000,"dem",2030
"Illinois","Henry",2000,"dem",11921
"Illinois","Iroquois",2000,"dem",4397
"Illinois","Jackson",2000,"dem",11773
"Illinois","Jasper",2000,"dem",1815
"Illinois","Jefferson",2000,"dem",6685
"Illinois","Jersey",2000,"dem",4355
"Illinois","Jo Daviess",2000,"dem",4585
"Illinois","Johnson",2000,"dem",1928
"Illinois","Kane",2000,"dem",60127
"Illinois","Kankakee",2000,"dem",19180
"Illinois","Kendall",2000,"dem",8444
"Illinois","Knox",2000,"dem",12572
"Illinois","Lake",2000,"dem",115058
"Illinois","LaSalle",2000,"dem",23355
"Illinois","Lawrence",2000,"dem",2822
"Illinois","Lee",2000,"dem",6111
"Illinois","Livingston",2000,"dem",5829
"Illinois","Logan",2000,"dem",4600
"Illinois","Macon",2000,"dem",24262
"Illinois","Macoupin",2000,"dem",11015
"Illinois","Madison",2000,"dem",59077
"Illinois","Marion",2000,"dem",8068
"Illinois","Marshall",2000,"dem",2570
"Illinois","Mason",2000,"dem",3192
"Illinois","Massac",2000,"dem",2912
"Illinois","McDonough",2000,"dem",6080
"Illinois","McHenry",2000,"dem",40698
"Illinois","McLean",2000,"dem",24936
"Illinois","Menard",2000,"dem",2164
"Illinois","Mercer",2000,"dem",4400
"Illinois","Monroe",2000,"dem",5797
"Illinois","Montgomery",2000,"dem",6542
"Illinois","Morgan",2000,"dem",5899
"Illinois","Moultrie",2000,"dem",2529
